Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
Elephant,2,wrinkly
Lion,1,soft
Fox,2,soft
Fish,5,scaly
Bee,25,fuzzy
